State,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
United States,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Alabama,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Alaska,7.75,7.75,7.75,7.75,7.75,8.75,9.75,9.8,9.84
Arizona,7.25,7.35,7.65,7.8,7.9,8.05,8.05,10,10.5
Arkansas,7.25,7.25,7.25,7.25,7.25,7.5,8,8.5,8.5
California,8,8,8,8,9,9,10,10,11
Colorado,7.25,7.36,7.64,7.78,8,8.23,8.31,9.3,10.2
Connecticut,8.25,8.25,8.25,8.25,8.7,9.15,9.6,10.1,10.1
Delaware,7.25,7.25,7.25,7.25,7.75,8.25,8.25,8.25,8.25
D.C.,8.25,8.25,8.25,8.25,9.5,10.5,11.5,11.5,13.25
Florida,7.25,7.25,7.67,7.79,7.93,8.05,8.05,8.1,8.25
Georgia,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Hawaii,7.25,7.25,7.25,7.25,7.25,7.75,8.5,9.25,10.1
Idaho,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Illinois,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
Indiana,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Iowa,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kansas,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kentucky,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Louisiana,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Maine,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9,10
Maryland,7.25,7.25,7.25,7.25,7.25,8.25,8.75,8.75,10.1
Massachusetts,8,8,8,8,8,9,10,11,11
Michigan,7.4,7.4,7.4,7.4,8.15,8.15,8.5,8.9,9.25
Minnesota,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.75,8.04
Mississippi,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Missouri,7.25,7.25,7.25,7.35,7.5,7.65,7.65,7.7,7.85
Montana,7.25,7.25,7.25,7.25,7.9,8.05,8.05,8.15,8.3
Nebraska,7.25,7.25,7.25,7.25,7.25,8,9,9,9
Nevada,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
New Hampshire,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
New Jersey,7.25,7.25,7.25,7.25,8.25,8.38,8.38,8.44,8.6
New Mexico,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
New York,7.25,7.25,7.25,7.25,8,8.75,9,9.7,10.4
North Carolina,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
North Dakota,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Ohio,7.3,7.4,7.7,7.85,7.25,7.25,7.25,8.15,8.3
Oklahoma,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Oregon,8.4,8.5,8.8,8.95,9.1,9.25,9.75,9.75,10.75
Pennsylvania,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Rhode Island,7.4,7.4,7.4,7.75,8,9,9.6,9.6,10.1
South Carolina,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
South Dakota,7.25,7.25,7.25,7.25,7.25,8.5,8.55,8.65,8.85
Tennessee,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Texas,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Utah,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Vermont,8.06,8.15,8.46,8.6,8.73,9.15,9.6,10,10.5
Virginia,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Washington,8.55,8.67,9.04,9.19,9.32,9.47,9.47,11,11.5
West Virginia,7.25,7.25,7.25,7.25,7.25,8,8.75,8.75,8.75
Wisconsin,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Wyoming,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
