State,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
United States,56069,55418,56383,56610,57379,58353,58950,60477,61730
Alabama,48282,48003,47949,48720,49497,48518,48868,50568,50810
Alaska,61093,62425,65468,65891,66755,67443,68138,69682,70277
Arizona,47553,48691,49885,45335,45406,47218,47403,48723,49892
Arkansas,47700,46314,46632,47319,48017,48218,48616,50544,51019
California,69434,68531,69324,71396,72535,77179,78711,80680,82282
Colorado,49938,49049,49844,49615,49828,46155,46506,52701,53301
Connecticut,65571,69465,69766,70583,71709,72013,72561,74517,76465
Delaware,57934,58800,59679,59305,59195,59960,60214,61795,62308
D.C.,66601,68720,70906,73162,75490,75810,76131,76486,78477
Florida,46702,46479,46944,47780,48992,49199,49407,48168,48395
Georgia,53906,52938,52880,52924,53382,54190,54602,56329,57137
Hawaii,55063,54070,54300,56291,57189,57431,57674,57866,59757
Idaho,47416,48551,49734,44465,45218,46122,47504,49225,50757
Illinois,63005,57636,59113,60124,61083,61342,61602,65721,66600
Indiana,50407,50516,51456,50289,50502,50715,50554,50614,50937
Iowa,50634,50240,51528,52032,52862,54416,55443,57018,58140
Kansas,47080,46718,47464,48221,48990,47755,47984,49754,49800
Kentucky,50038,49730,50326,50560,51093,52134,52339,52952,53434
Louisiana,49634,50179,51381,49067,47886,49745,50000,50359,50923
Maine,47182,47338,48119,49232,50017,50498,51077,53815,54974
Maryland,65113,63634,65265,64546,64845,66456,66961,69627,70463
Massachusetts,71017,71721,73129,73195,74805,76981,77804,80357,82042
Michigan,58595,61560,61560,62166,62778,62028,62200,61911,61825
Minnesota,53215,54959,56268,54752,56670,56913,57346,57782,58221
Mississippi,46818,41646,41994,42187,42564,42744,42925,44926,45574
Missouri,46411,46406,47517,46750,47394,47957,48293,49304,50064
Montana,47132,48546,49999,49893,50999,51034,51422,52776,54034
Nebraska,47521,48154,48931,49539,50318,51386,52338,54213,54506
Nevada,53023,54559,55957,55813,56703,56943,57376,54280,54280
New Hampshire,52792,54177,55599,57057,58554,56616,57253,57833,58146
New Jersey,66985,67078,68797,68238,69038,69330,69623,69917,70212
New Mexico,46950,45622,46573,45727,46003,47163,47500,47152,47826
New York,72708,73398,75279,76409,77628,79152,79637,84227,85889
North Carolina,46850,45947,45947,44990,47783,47941,49837,51231,53975
North Dakota,44266,46058,47344,48666,50025,50472,51618,52850,53434
Ohio,57291,56715,58092,55913,56172,56441,57000,58000,57799
Oklahoma,49039,44391,44128,44549,44628,45276,45245,46300,52412
Oregon,56387,57348,58758,58638,59811,60359,61631,63061,64385
Pennsylvania,60536,61934,63521,63701,64717,65151,65863,67535,68141
Rhode Island,60923,62186,63474,64696,65918,66197,66477,66758,67040
South Carolina,49434,47428,47924,48430,48709,48769,48598,50182,50395
South Dakota,35201,38804,39580,40023,40661,42025,42668,47631,48786
Tennessee,47043,47082,48289,47742,48503,48217,48456,50900,51714
Texas,48261,48373,48110,49690,50576,51890,52575,53334,54155
Utah,46571,48159,49393,45695,45848,46887,47244,49655,50342
Vermont,50141,51306,52526,55958,57642,58901,60187,60556,61027
Virginia,51559,48703,49869,49826,50620,50834,51049,51994,52466
Washington,53796,52232,53571,52969,53714,53738,54147,55693,72965
West Virginia,47253,45320,46405,45086,45647,45622,45701,45642,47681
Wisconsin,52031,53792,55171,53679,54535,54115,54998,51469,51453
Wyoming,56978,57222,57920,56583,57715,58140,58650,58352,58618
